Sender,Title,Incipit,Reference,Cited names,Subject,Places
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, aprile 1657.
","Tipologia: letteraIncipit: ""Per l'ordinario passato non ricevei sue lettere, cosa che in estremo mi dispiacque ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 49, c. 90r-91r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Borelli, Giovanni Alfonso, 1608-1679,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Bargiacchi, sec. XVII,  (citato.)
",,"*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Ridolfi, Francesco, m. 1697,

","Ridolfi Francesco a Viviani Vincenzo, 13 maggio 1657.
","Tipologia: letteraIncipit: ""Se Vostra Signoria oggi per suo commodo ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 50, c. 92r<br/>
</td>","Coltellini, Agostino, 1613-1693,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
",,"*Firenze  (provenienza e destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 7 agosto 1657.
","Tipologia: letteraIncipit: ""Io mi trovo molto debole e fiacco per due solite ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 51, c. 94r<br/>
</td>","Nelli, Agostino, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza e destinazione.)
"
"Micalori, Giovanni Battista, sec. XVII,

","Micalori Giovanni Battista a Viviani Vincenzo, 18 settembre 1657.
","Tipologia: letteraIncipit: ""Sono molti mesi, che io non hò inteso cosa alcuna ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 52, c. 96r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Urbania  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 27 ottobre 1657.
","Tipologia: letteraIncipit: ""Io son à Lari dove il paese è bellissimo, ma la nostra habitazione bruttissima ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 53, c. 98r-99v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Beccuto, Carlo Filippo, sec. XVII-XVIII,  (citato.)
Orsati, Giuseppe, sec. XVII,  (citato.)
Lisci, Benedetto, sec. XVII,  (citato.)
Nigetti, sec. XVII,  (citato.)
Giacomini,  (citato.)
","*Argomenti privati.
","*Lari  (provenienza.)*Firenze  (destinazione.)
"
"Magalotti, Lorenzo, 1637-1712,

","Magalotti Lorenzo a Viviani Vincenzo, 7 settembre 1657.
","Tipologia: letteraIncipit: ""Dovendo hoggi essere con mia fretta per un nostro interesse ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 54, c. 100r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Firenze  (destinazione.)
"
"Viviani, Alamanno, m. post 1671,

","Viviani Alamanno a Viviani Vincenzo, 14 dicembre 1657.
","Tipologia: letteraIncipit: ""Già che viene il Signor Pietro à Firenze, accuso a Vostra Signoria ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 55, c. 102r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 19 dicembre 1657.
","Tipologia: letteraIncipit: ""Sento quanto Vostra Signoria mi significa ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 56, c. 103r-v<br/>
</td>","Saminiatelli, sec. XVII,  (citato.)
Mersenne, Marin, 1588-1648,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
",,"*Firenze  (provenienza e destinazione.)
"
"Tomansi, Leopoldo, sec. XVII,

","Tomansi Leopoldo a Viviani Vincenzo, 21 dicembre 1657.
","Tipologia: letteraIncipit: ""Conforme Vostra Signoria si è compiaciuta accennarmi per la sua ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 57, c. 105r<br/>
</td>","Ricci, Ottavio, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
",,"*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Tomansi, Leopoldo, sec. XVII,

","Tomansi Leopoldo a Viviani Vincenzo, 22 dicembre 1657.
","Tipologia: letteraIncipit: ""Havendo in questo punto Sua Altezza Serenissima ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 58, c. 107r-v<br/>
</td>","Ricci, Ottavio, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 24 dicembre 1657.
","Tipologia: letteraIncipit: ""Nec uno avulso deficit alter. Non sono due giorni che l'amico ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 59, c. 109r-110r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Serenai, Lodovico, 1599-1685,  (citato.)
Mersenne, Marin, 1588-1648,  (citato.)
Galilei, Cosimo, 1636-1672,  (citato.)
",,"*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 27 dicembre 1657.
","Tipologia: letteraIncipit: ""La lettera di Vostra Signoria è stata da me consegnata ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 60, c. 111r<br/>
</td>","Serenai, Lodovico, 1599-1685,  (citato.)
Leoli, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 3 giugno 1658.
","Tipologia: letteraIncipit: ""Con sommo gusto ricevo una gratissima di Vostra Signoria ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 61, c. 113r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 7 gennaio 1658.
","Tipologia: letteraIncipit: ""Finalmente ho ricevuto un'altra lettera di quell'amico lontano ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 62, c. 115r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 12 gennaio 1658.
","Tipologia: letteraIncipit: ""Sento le notizie che Vostra Signoria mi dà ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 63, c. 117r-v<br/>
</td>","Gregorio Barbarigo, santo, 1625-1697,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 3 gennaio 1658.
","Tipologia: letteraIncipit: ""Sono di gia passate due settimane che io non ricevo sue lettere, ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 64, c. 119r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Galilei, Galileo, 1564-1642,  (citato.)
Gassendi, Pierre, 1592-1655,  (citato.)
Magalotti, Lorenzo, 1637-1712,  (citato.)
Magnani, Lorenzo, sec. XVII,  (citato.)
Medici, Leopoldo de', 1617-1675,  (citato.)
Simplicius Cilicius, ca. 490-ca. 560,  (citato.)
","*Notizie di libri.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Bellincioni, Giovanni, sec. XVII,

","Bellincioni Giovanni a Viviani Vincenzo, 29 gennaio 1658.
","Tipologia: letteraIncipit: ""Il debito che li tengho mi move a salutarla reverentemente con la presente ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 65, c. 121r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Candia  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 9 febbraio 1658.
","Tipologia: letteraIncipit: ""Ho il sospetto che la mia lettera di risposta ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 66, c. 123r<br/>
</td>","Gregorio Barbarigo, santo, 1625-1697,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 10 febbraio 1658.
","Tipologia: letteraIncipit: ""Ricevo una cortesissima di Vostra Signoria, dalla quale mi vien confermata ...""Tracce di sigillo a ceralacca
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 67, c. 125r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 14 febbraio 1658.
","Tipologia: letteraIncipit: ""Ho ricevuto in sua vece una lettera cortesissima, dalla quale vengo affatto escluso ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 68, c. 127r-130r<br/>
</td>","Borelli, Giovanni Alfonso, 1608-1679,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 2 marzo 1658.
","Tipologia: letteraIncipit: ""Replico a Monsignor Barbarigo quanto le scrissi con altra mia ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 69, c. 131r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 7 marzo 1658.
","Tipologia: letteraIncipit: ""Finalmente Signor Vincenzio ho conosciuto che quella maladetta Pisa ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 70, c. 133r-136r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Vettori,  (citato.)
Marchetti, Alessandro, 1633-1714,  (citato.)
Salvini, Bartolomeo, sec. XVII,  (citato.)
Lippi, Francesco, sec. XVII,  (citato.)
","*Pisa, Studio di.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 9 marzo 1658.
","Tipologia: letteraIncipit: ""In quella conformità che Vostra Signoria desiderava ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 71, c. 137r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 12 marzo 1658.
","Tipologia: letteraIncipit: ""Ricevetti una di Vostra Signoria cortesissima ne la qual mi vien significato ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 72, c. 139r-140v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Arrighetti, Andrea, 1592-1672,  (citato.)
Vettori,  (citato.)
Borelli, Giovanni Alfonso, 1608-1679,  (citato.)
Magalotti, Lorenzo, 1637-1712,  (citato.)
Salvini, Bartolomeo, sec. XVII,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Università degli studi (Pisa),  (possessore.)
","*Pisa, Studio di.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 16 marzo 1658.
","Tipologia: letteraIncipit: ""M'hà risposto Mons. Barbarigo. Si contenta di pigliare ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 73, c. 141r-v<br/>
</td>","Gregorio Barbarigo, santo, 1625-1697,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Affari economici.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 19 marzo 1658.
","Tipologia: letteraIncipit: ""La moltitudine delle obbligazioni verso di Vostra Signoria ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 74, c. 143r-144r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Salvini,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Borelli, Giovanni Alfonso, 1608-1679,  (citato.)
Arrighetti, Andrea, 1592-1672,  (citato.)
","*Argomenti privati.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 22 marzo 1658.
","Tipologia: letteraIncipit: ""Con la mia dell'ordinario passato averà Vostra Signoria inteso ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 75, c. 145r<br/>
</td>","Galilei, Cosimo, 1636-1672,  (citato.)
Gregorio Barbarigo, santo, 1625-1697,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 30 marzo 1658.
","Tipologia: letteraIncipit: ""Non resterò al presente ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 76, c. 147r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Torricelli,  (citato.)
Bragadin, Marco Antonio, 1590-1658,  (citato.)
Galilei, Cosimo, 1636-1672,  (citato.)
Gregorio Barbarigo, santo, 1625-1697,  (citato.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Manetti, Braccio, 1607-1652,

","Manetti Braccio a Viviani Vincenzo, 1 aprile 1658.
","Tipologia: letteraIncipit: ""Concorro omninamente nel suo parere che sia ben fatto ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 77, c. 149r<br/>
</td>","Della Rena, Geri, 1580-1662,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Questioni di lavoro.
","*Firenze  (provenienza e destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 13 aprile 1658.
","Tipologia: letteraIncipit: ""Fa bene il Signor Cosimo à scriverli ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 78, c. 151r<br/>
</td>","Galilei, Cosimo, 1636-1672,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Lapi, Michelangelo, sec. XVII,

","Lapi Michelangelo a Viviani Vincenzo, 13 aprile 1658.
","Tipologia: letteraIncipit: ""Vorrei con altro che con i ringraziamenti fatti al Signor Andrea ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 79, c. 153r<br/>
</td>","Arrighetti, Andrea, 1592-1672,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Rinaldini, Carlo, 1615-1698,

","Rinaldini Carlo a Viviani Vincenzo, 15 aprile 1658.
","Tipologia: letteraIncipit: ""Sento l'aviso che Vostra Signoria mi da del libro stampato ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 80, c. 155r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
"Retano, Tommaso, sec. XVII,

","Retano Tommaso a Viviani Vincenzo, 20 aprile 1658.
","Tipologia: letteraIncipit: ""Nel proposito del Signor Galilei mi scrive ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 81, c. 157r<br/>
</td>","Galilei, Cosimo, 1636-1672,  (citato.)
Gregorio Barbarigo, santo, 1625-1697,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Combi & La Nou (casa editrice),

","Combi & La Nou (casa editrice) a Viviani Vincenzo, 20 aprile 1658.
","Tipologia: letteraIncipit: ""Habbiamo riceuto la gratissima di 6 stante ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 82, c. 159r<br/>
</td>","Benvenuti, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Molara, Bruto della, 1639-1685,

","Molara Bruto (della) a Viviani Vincenzo, 11 maggio 1658.
","Tipologia: letteraIncipit: ""Dovevo molto prima pagare questo debito ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 83, c. 161r<br/>
</td>","Colonna,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 30 maggio 1658.
","Tipologia: letteraIncipit: ""Son quasi giunto alla metà del mio viaggio, e per la Dio grazia ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 84, c. 163r-164r<br/>
</td>","Rinieri, padre, sec. XVII,  (citato.)
Cattaneo,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Viaggi.
","*Parma  (provenienza.)*Firenze  (destinazione.)
"
"Torsi, Andrea, sec. XVII,

","Torsi Andrea a Viviani Vincenzo, 1 giugno 1658.
","Tipologia: letteraIncipit: ""Mi sono pervenute le due cortesissime di Vostra Signoria ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 85, c. 165r-v<br/>
</td>","Galilei, Vincenzo, n. 1608,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Lapi, Michelangelo, sec. XVII,

","Lapi Michelangelo a Viviani Vincenzo, 28 giugno 1658.
","Tipologia: letteraIncipit: ""Consegnarò a chi Vostra Signoria ordinerà il libro della prospettiva ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 86, c. 166r<br/>
</td>","Pietro, sec. XVII,  (citato.)
Nerli,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 12 giugno 1658.
","Tipologia: letteraIncipit: ""Ho ricevuto una lettera della Signora Madre, alla quale sabato passato ...""Pubbl. in: A. Favaro, Documenti inediti per la storia dei manoscritti galileiani, in Bullettino di bibliografia e di storia delle scienze matematiche e fisiche, XVIII (1885), 153-154
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 87, c. 168r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Apollonius Pergaeus, 262-190 a.C.,  (citato.)
Silvani,  (citato.)
Filippini, Pier Maria, sec. XVII,  (citato.)
Gassendi, Pierre, 1592-1655,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
","*Argomenti privati.
","*Bergamo  (provenienza.)*Firenze  (destinazione.)
"
"Lapi, Michelangelo, sec. XVII,

","Lapi Michelangelo a Viviani Vincenzo, 15 giugno 1658.
","Tipologia: letteraIncipit: ""Farò diligenza per mandare a Vostra Signoria ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 88, c. 170r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Galilei, Cosimo, 1636-1672,

","Galilei Cosimo a Viviani Vincenzo, 10 luglio 1658.
","Tipologia: letteraIncipit: ""Non so a quel che io deva attribuire la causa del suo silentio ...""Pubbl. in: A. Favaro, Documenti inediti per la storia dei manoscritti galileiani, in Bullettino di bibliografia e di storia delle scienze matematiche e fisiche, XVIII (1885), p. 154-155
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 89, c. 172r-173v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Barbarigo, Antonio, sec. XVII,  (citato.)
Apollonius Pergaeus, 262-190 a.C.,  (citato.)
","*Astronomia.
","*Bergamo  (provenienza.)*Firenze  (destinazione.)
"
