Sender,Main title,Notes,in:,Related names,subjects,places
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), [s.d.].
","Tipologia: letteraIncipit: ""Lunedì presi la medicina, dalla quale non ne sento quel sollevamento al mio male che me ne veniva...""Minuta autografa senza dati topici e cronici
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22788')"">Gal. 160  </a>  doc. 64, c. 70r-71v<br/>
</td>","Molara, Bruto della, 1639-1685,  (destinatario.)
Michelozzi, Antonio, sec. XVII,  (citato.)
Giamberti, Ridolfo, sec. XVII,  (citato.)
Della Rena, Ferdinando, 1616-1688,  (citato.)
","*Questioni di lavoro.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), [s.d.].
","Tipologia: letteraIncipit: ""Chi sente prima l'un ora di notte tiri un razzo. Il medesimo dopo aver dato tempo conveniente ne tiri un altro...""Minuta autografa senza dati topici e cronici
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22788')"">Gal. 160  </a>  doc. 65, c. 72r-73r<br/>
</td>","Molara, Bruto della, 1639-1685,  (destinatario.)
","*Argomenti privati.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), [s.d.].
","Tipologia: letteraIncipit: ""In ordine a quanto mi viene prescritto col Signor Stenone mi son contenuto in quella forma...""Minuta autografa senza dati topici e cronici
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22788')"">Gal. 160  </a>  doc. 66, c. 74r-v<br/>
</td>","Steensen, Niels, 1638-1686,  (citato.)
Molara, Bruto della, 1639-1685,  (destinatario.)
","*Argomenti privati.
",
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Molara Bruto (della), [s.d.].
","Tipologia: letteraIncipit: ""Col Signor Niccolò Stenone mi son contenuto in quella conformità che V. S. di mente del Serenissimo Gran Duca...""Minuta autografa senza dati topici e croniciA c. 76r si legge un breve componimento poetico, inc.: ""Dice quel mio signore / testa da imperadore / ch' 'e libri son per dir sempre il medesimo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22788')"">Gal. 160  </a>  doc. 67, c. 75r<br/>
</td>","Steensen, Niels, 1638-1686,  (citato.)
Molara, Bruto della, 1639-1685,  (destinatario.)
","*Argomenti privati.
",
"Molara, Bruto della, 1639-1685,

","Molara Bruto (della) a Viviani Vincenzo, 22 dicembre 1674.
","Tipologia: letteraIncipit: ""Arrossisco al comparirvi davanti con questa mia...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 2, c. 3r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Ricci, Michelangelo, 1619-1682,

","Ricci Michelangelo a Viviani Vincenzo, 29 dicembre 1674.
","Tipologia: letteraIncipit: ""Nell'annunziarmi le buone feste con espressioni tanto cortesi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 3, c. 5r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Falconieri, Paolo, 1638-1704,

","Falconieri Paolo a Viviani Vincenzo, 5 gennaio 1675.
","Tipologia: letteraIncipit: ""Ho riconosciuto negli auguri di felicità che Vostra Signoria Illustrissima si è compiaciuta...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 4, c. 6r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Guerrini, Dionigi, sec. XVII,

","Guerrini Dionigi a Viviani Vincenzo, 13 gennaio 1675.
","Tipologia: letteraIncipit: ""Un cavaliere mio padrone et amico del Migliorati ha una casa...""Le cc. 8v-10r contengono alcune tavole con le piante dell'edificio in questione e, a fianco, una didascalia che si riferisce ad esse
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 5, c. 7r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Regnadori, Piero, sec. XVII,  (citato.)
Nardi, Giovanni, 1585-1654,  (citato.)
Migliorati,  (citato.)
","*Argomenti privati.
","*Prato  (provenienza.)*Firenze  (destinazione.)
"
"Pollini, Lorenzo, sec. XVII,

","Pollini Lorenzo a Viviani Vincenzo, 2 aprile 1675.
","Tipologia: letteraIncipit: ""Sento con straordinario contento che le cose...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 6, c. 10r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Firenze  (destinazione.)
"
"Serenai, Francesco, sec. XVII,

","Serenai Francesco a Viviani Vincenzo, 17 aprile 1675.
","Tipologia: letteraIncipit: ""Le multiplicate riprove che ho della benignità di Vostra Signoria mi fan credere...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 7, c. 12r-v<br/>
</td>","Delfino, Dionisio, 1663-1734,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Udine  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 14 maggio 1675.
","Tipologia: letteraIncipit: ""Io non ho prima riverito Vostra Signoria con mie lettere per non infastidirla...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 8, c. 13r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 23 maggio 1675.
","Tipologia: letteraIncipit: ""Per quanto ho potuto intender destramente senza nominar alcuno...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 9, c. 15r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Tozzi, Luca, 1638-1717,

","Tozzi Luca a Viviani Vincenzo, 2 giugno 1675.
","Tipologia: letteraIncipit: ""Devo in vero molto al mio signor Antonio Monforte che con suo felicissimo viaggio...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 10, c. 17r<br/>
</td>","Monforte, Antonio, 1644-1717,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Napoli  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 24 giugno 1675.
","Tipologia: letteraIncipit: ""Io prego il signor Vincenzio mio signore ad esser certo che il mio silenzio...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 11, c. 19r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Borromei,  (citato.)
Buondelmonti, Baccio, sec. XVII,  (citato.)
Delfino, Dionisio, 1663-1734,  (citato.)
Fiorini, sec. XVII,  (citato.)
Marsili,  (citato.)
Serenai, Francesco, sec. XVII,  (citato.)
Chigi, sec. XVII,  (citato.)
","*Argomenti privati.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 29 giugno 1675.
","Tipologia: letteraIncipit: ""Se io avessi commodità e tempo di scrivere a lungo, come io non ho...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 12, c. 21r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Torricelli, Evangelista, 1608-1647,  (citato.)
Buonaiuti, Niccolò, sec. XVII,  (citato.)
Serenai, Francesco, sec. XVII,  (citato.)
Borromei,  (citato.)
","*Argomenti privati.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Combi & La Nou (casa editrice),

","Combi & La Nou (casa editrice) a Viviani Vincenzo, 8 luglio 1675.
","Tipologia: letteraIncipit: ""Qui inclusa trovarà Vostra Signoria Eccellentissima la sua nota apprezziata...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 13, c. 23r<br/>
</td>","La Noù, Giovanni, sec. XVII,  (copista.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 7 luglio 1675.
","Tipologia: letteraIncipit: ""In risposta alla carissima di Vostra Signoria de' 4 ricevuta questo dì 7...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 14, c. 25r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
Bartolini, Sandro, sec. XVII,  (citato.)
Bartolini, Simone, sec. XVII?,  (citato.)
Cardi, Niccolò, sec. XVII,  (citato.)
Pomponia, Cecco della, sec. XVII,  (citato.)
","*Varia.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Mariani, Jacopo, sec. XVII,

","Mariani Jacopo a Viviani Vincenzo, 12 luglio 1675.
","Tipologia: letteraIncipit: ""Io andai e là non vera, posso descrivergli io che non trovo chi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 15, c. 27r<br/>
</td>","Sodlerio, Cristoforo, sec. XVII,  (citato.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Firenze  (destinazione.)
"
"La Noù, Giovanni, sec. XVII,

","La perspective speculative, et pratique : ou sont demonstrez les fondemens de cet art, et de tout ce qui en a esté enseigné jusqu'à present : ensemble la maniere uniuerselle de la pratiquer, non seulement sans plan geometral, et sans tiers poinct, dedans ni dehors le champ du tableau : mais encores par le moyen de la ligne, communé ment appellé e horisontale /.
","Tipologia: letteraIncipit: ""L'ordinario passato non feci risposta alla grata di Vostra Signoria...""All'interno  una ricevuta contenente un elenco di libri, con il relativo costo e quietanza rilasciata a Girolamo Bandini
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 16, c. 28r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Molara, Bruto della, 1639-1685,

","Molara Bruto (della) a Viviani Vincenzo, 22 luglio 1675.
","Tipologia: letteraIncipit: ""Io vi son debitore di molte risposte...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 17, c. 31r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Buragna, Carlo, 1634-1679,

","Buragna Carlo a Viviani Vincenzo, 23 luglio 1675.
","Tipologia: letteraIncipit: ""Per esser io giunto a Napoli non prima di tre dì sono, ed...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 18, c. 32r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Napoli  (provenienza.)*Firenze  (destinazione.)
"
"Foggini, Giovanni Battista, 1652-1725,

","Foggini Giovanni Battista a Viviani Vincenzo, 24 agosto 1675.
","Tipologia: letteraIncipit: ""Averei fatto contro il mio debito se non avisassi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 19, c. 33r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Combi & La Nou (casa editrice),

","Combi & La Nou (casa editrice) a Viviani Vincenzo, 7 settembre 1675.
","Tipologia: letteraIncipit: ""Il signor Bandini ci ha già dato parte del sborso...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 20, c. 35r<br/>
</td>","Bandini, Girolamo, sec. XVII,  (citato.)
La Noù, Giovanni, sec. XVII,  (copista.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Combi & La Nou (casa editrice),

","Combi & La Nou (casa editrice) a Viviani Vincenzo, 14 settembre 1675.
","Tipologia: letteraIncipit: ""Dal Signor Bandini habbiamo havuto il saldo delle lire...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 21, c. 37r<br/>
</td>","Bandini, Girolamo, sec. XVII,  (citato.)
La Noù, Giovanni, sec. XVII,  (copista.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Lodovico, 1599-1685,

","Serenai Lodovico a Viviani Vincenzo, 21 settembre 1675.
","Tipologia: letteraIncipit: ""Desidero sentire il giudizio che Vostra Signoria farebbe di questa sorta di vino...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 22, c. 39r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*S. Giovanni Valdarno  (provenienza.)*Firenze  (destinazione.)
"
"Blondel, Mederico, sec. XVII,

","Blondel Mederico a Viviani Vincenzo, 14 settembre 1675.
","Tipologia: letteraIncipit: ""Mi capitò per appunto la sua favoritissima delli tre trascorso per sollevar e consolarmi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 23, c. 41r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*S. Casciano de' Bagni  (provenienza.)*Firenze  (destinazione.)
"
"Micalori, Giovanni Battista, sec. XVII,

","Micalori Giovanni Battista a Viviani Vincenzo, 18 ottobre 1675.
","Tipologia: letteraIncipit: ""Vengo con la presente per riverire Vostra Signoria Illustrissima...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 24, c. 43r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Urbania  (provenienza.)*Firenze  (destinazione.)
"
"Combi & La Nou (casa editrice),

","Combi & La Nou (casa editrice) a Viviani Vincenzo, 19 ottobre 1675.
","Tipologia: letteraIncipit: ""Dal Signor Bandini ci è stato mandato per conto di...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 25, c. 45r<br/>
</td>","Bandini, Girolamo, sec. XVII,  (citato.)
La Noù, Giovanni, sec. XVII,  (copista.)
Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Venezia  (provenienza.)*Firenze  (destinazione.)
"
"Costantino, Giulio Cesare, sec. XVII,

","Costantino Giulio Cesare a Viviani Vincenzo, 28 novembre 1675.
","Tipologia: letteraIncipit: ""Apportarà non picciola maraviglia a Vostra Signoria Illustrissima il vedersi comparire...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 26, c. 47r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Affari economici.
","*Napoli  (provenienza.)*Firenze  (destinazione.)
"
"Santini, Vincenzo, sec. XVII,

","Santini Vincenzo a Viviani Vincenzo, 30 novembre 1675.
","Tipologia: letteraIncipit: ""Quanta ne sia stata grande la perdita per me nella morte...""A c. 50r alcune note autografe di Viviani riguardanti le notizie da chiedere al Santini e a Ricci
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 27, c. 49r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Ricci, Michelangelo, 1619-1682,

","Ricci Michelangelo a Viviani Vincenzo, 7 dicembre 1675.
","Tipologia: letteraIncipit: ""Le replicate istanze fattemi dal Signor Vincenzo Santini, ch'io voglia in qualche modo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 28, c. 51r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Francesco, sec. XVII,

","Serenai Francesco a Viviani Vincenzo, 9 dicembre 1675.
","Tipologia: letteraIncipit: ""Quanto mi aggravi romper un lungo silenzio con narrativa d'infinite miserie...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 29, c. 53r-54r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Ferrara  (provenienza.)*Firenze  (destinazione.)
"
"Serenai, Francesco, sec. XVII,

","Serenai Francesco a Viviani Vincenzo, 19 dicembre 1675.
","Tipologia: letteraIncipit: ""Tengo l'humanissima di Vostra Signoria a me responsiva in data de 14 prossimo passato...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 30, c. 55r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Ferrara  (provenienza.)*Firenze  (destinazione.)
"
"Santini, Vincenzo, sec. XVII,

","Santini Vincenzo a Viviani Vincenzo, 28 dicembre 1675.
","Tipologia: letteraIncipit: ""Hieri mi fu portata dal servitore dell'Illustrissimo signor Michelangelo Ricci una gratissima...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 31, c. 57r-58v<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Ricci, Michelangelo, 1619-1682,

","Ricci Michelangelo a Viviani Vincenzo, 28 dicembre 1675.
","Tipologia: letteraIncipit: ""Con que' sentimenti di gratitudine, et obligazione, che si convengono ad un favore singolarissimo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 32, c. 59r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Santini, Vincenzo, sec. XVII,

","Santini Vincenzo a Viviani Vincenzo, 4 gennaio 1676.
","Tipologia: letteraIncipit: ""Il Signor Michelangelo Ricci mi ha partecipata la cortesissima di Vostra Signoria...""Lo stile della datazione indicato è quello ""ab Incarnatione"", ma in realtà l'anno è calcolato ""a Nativitate"", e si tratta del 1676
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 33, c. 60r-61r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Ricci, Michelangelo, 1619-1682,

","Ricci Michelangelo a Viviani Vincenzo, 4 gennaio 1676.
","Tipologia: letteraIncipit: ""Ho partecipato al Signor Santini ciò che Vostra Signoria Illustrissima con tanta cortesia mi accenna...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 34, c. 62r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Santini, Vincenzo, sec. XVII,

","Santini Vincenzo a Viviani Vincenzo, 11 gennaio 1676.
","Tipologia: letteraIncipit: ""Il Signor Michelangelo Ricci m'a partecipata la nuova...""Lo stile della datazione indicato è quello ""ab Incarnatione"", ma in realtà l'anno è calcolato ""a Nativitate"", e si tratta del 1676
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 35, c. 63r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Ricci, Michelangelo, 1619-1682,

","Ricci Michelangelo a Viviani Vincenzo, 18 gennaio 1676.
","Tipologia: letteraIncipit: ""Comunicai al Signor Vincenzo Santini ciò che Vostra Signoria Illustrissima fece grazia di significarmi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 36, c. 65r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Suppliche.
","*Roma  (provenienza.)*Firenze  (destinazione.)
"
"Gherardi, Bartolomeo, sec. XVII,

","Gherardi Bartolomeo a Viviani Vincenzo, 8 febbraio 1676.
","Tipologia: letteraIncipit: ""Ieri fui di ritorno in Siena dala visita dello Stato...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 37, c. 66r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Siena  (provenienza.)*Firenze  (destinazione.)
"
"Viviani, Maria Sestilia, sec. XVII,

","Viviani Maria Sestilia a Viviani Vincenzo, 8 febbraio 1676.
","Tipologia: letteraIncipit: ""Ho ricevuti li cinque scudi per mano di Suor Maria Angela infermiera...""La c. 68v, dove è l'indirizzo, è stata utilizzata per alcune note
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 38, c. 67r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Sant'Orsola  (provenienza.)*Firenze  (destinazione.)
"
"Guerrini, Dionigi, sec. XVII,

","Guerrini Dionigi a Viviani Vincenzo, 18 febbraio 1676.
","Tipologia: letteraIncipit: ""Dalla singolar gentilezza e perfetta squisitezza d'ogni cosa...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 39, c. 69r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Argomenti privati.
","*Prato  (provenienza.)*Firenze  (destinazione.)
"
"Lorenzini, Lorenzo, 1650-1721,

","Lorenzini Lorenzo a Viviani Vincenzo, 28 febbraio 1676.
","Tipologia: letteraIncipit: ""Il Signor Bartolini riverisce Vostra Signoria ed averà ambizione di poterla...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23776')"">Gal. 165  </a>  doc. 40, c. 70r<br/>
</td>","Viviani, Vincenzo, 1622-1703,  (destinatario.)
","*Notizie di libri.
","*Pisa  (provenienza.)*Firenze  (destinazione.)
"
