Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Molara Bruto (della),"Incipit: ""Ricevo due vostre, ma in nessuna delle due mi date troppo buone nuove, mentre non mi assicurate...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 155, c. 248r-249r<br/>
</td>","Rinaldini, Carlo, 1615-1698,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,23/01/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Cerchi Alessandro,"Incipit: ""Con ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 156, c. 250r-v<br/>
</td>","Marucelli, Giovan Filippo, 1628-1680,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario, citato.)",Argomenti privati,Cerchi Alessandro a Viviani Vincenzo,27/01/1665,Pisa,Unidentified,Viviani Vincenzo,1665
Marucelli Giovanni Filippo,"Incipit: ""Ricevo la ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 157, c. 251r<br/>
</td>","Dati, Carlo Roberto, 1619-1676,(citato.)Cerchi, Alessandro, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Marucelli Giovanni Filippo a Viviani Vincenzo,30/01/1665,Parigi,Firenze,Viviani Vincenzo,1665
Molara Bruto (della),"Incipit: ""Vorrei pure sentire che voi mi deste avviso una volta del vostro ritorno, e che ci rivediamo...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 158, c. 253r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Viviani, Francesco, sec. XVII,(citato.)Cerchi, Alessandro, sec. XVII,(citato.)Caccini, Tommaso, 1574-1648,(citato.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,30/01/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Marucelli Giovanni Filippo,"Incipit: ""Incluso in un grosso piego del Signor Cavaliere Cerchi ricevo con l'ordine i recapiti di V. S. per...""Firma e poscritto autografi
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 159, c. 254r-v<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Cerchi, Alessandro, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Marucelli Giovanni Filippo a Viviani Vincenzo,6/02/1665,Parigi,Firenze,Viviani Vincenzo,1665
Marucelli Giovanni Filippo,"Incipit: ""Mi dispiace da un canto, che la gratificazione di S. M. habbia causato alla premurosa puntualità...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 160, c. 256v<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Marucelli Giovanni Filippo a Viviani Vincenzo,13/02/1665,Parigi,Firenze,Viviani Vincenzo,1665
Balatri Antonio Francesco,"Incipit: ""Sono già da 15 giorni ch'i motipropri a favore di V. S. Eccellentissima stanno in camera del Serenissimo...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 161, c. 258r-v<br/>
</td>","Molara, Bruto della, 1639-1685,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Balatri Antonio Francesco a Viviani Vincenzo,20/02/1665,Pisa,Unidentified,Viviani Vincenzo,1665
Lazari Pier Francesco,"Incipit: ""Si compiacerà V. S. ricevere una cassetta de fichi franchata d'ogni spesa...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 162, c. 259r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lazari Pier Francesco a Viviani Vincenzo,28/02/1665,Pesaro,Firenze,Viviani Vincenzo,1665
Galli Giovanni,"Incipit: ""D'ordine del molto Reverendo Padre Francesco Lazari di Pesaro si manda a V. S. una cassetta...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 163, c. 261r<br/>
</td>","Lazari, Pier Francesco, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Galli Giovanni a Viviani Vincenzo,1/03/1665,Sant' Angelo in Vado,Firenze,Viviani Vincenzo,1665
Galli Giovanni,"Incipit: ""D'ordine del molto Reverendo Padre Lazari Carmelitano di Pesaro si è inviato a V. S. una cassettina...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 164, c. 263r<br/>
</td>","Lazari, Pier Francesco, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Galli Giovanni a Viviani Vincenzo,2/03/1665,Sant' Angelo in Vado,Firenze,Viviani Vincenzo,1665
Galilei Cosimo,"Incipit: ""Con le lettere di V. S. ricevetti la polizza di cambio di scudi otto, quali riscossi ieri mattina, ne ringrazio...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 165, c. 265r-266r<br/>
</td>","Gregorio Barbarigo, santo, 1625-1697,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Galilei Cosimo a Viviani Vincenzo,7/03/1665,Roma,Unidentified,Viviani Vincenzo,1665
Dell'Ara Paolo,"Incipit: ""Dalla ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 166, c. 267r-270r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Boulliau, Ismael, 1605-1691,(citato.)Mendet,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)Huygens, Christiaan, 1629-1695,(citato.)Cerchi, Alessandro, sec. XVII,(citato.)",Notizie di libri,Dell'Ara Paolo a Viviani Vincenzo,20/03/1665,Parigi,Unidentified,Viviani Vincenzo,1665
Marucelli Giovanni Filippo,"Incipit: ""Comparve la cassa de' libri di V. S. quali erano così ben legati, che poco meglio si lavora qua...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 167, c. 271r-v<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Marucelli Giovanni Filippo a Viviani Vincenzo,20/03/1665,Parigi,Firenze,Viviani Vincenzo,1665
Lisci Benedetto,"Incipit: ""Io non vorrei che V. S. Illustrissima mi mettesse in qualche imbroglio, che la gente formasse di me...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 168, c. 273r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lisci Benedetto a Viviani Vincenzo,25/03/1665,Pisa,Unidentified,Viviani Vincenzo,1665
Molara Bruto (della),"Incipit: ""Eccovi botta e risposta del Signor Borelli, da queste che voi vedrete, non vi è state altre lettere...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 169, c. 274r<br/>
</td>","Borelli, Giovanni Alfonso, 1608-1679,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,27/03/1665,Livorno,Unidentified,Viviani Vincenzo,1665
Lisci Benedetto,"Incipit: ""A fé che io credo, che gli verrò a noia con tante lettere, e rinvoltini, ma che vol'ella che io faccia...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 170, c. 275r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lisci Benedetto a Viviani Vincenzo,27/03/1665,Pisa,Unidentified,Viviani Vincenzo,1665
Micalori Giovanni Battista,"Incipit: ""Essendo vacato l'offizio della tassa o estimo delle terre che si vendono, o comprono in questa città...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 171, c. 276r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Barocci, Federico, 1535-1612,(citato.)Medici, Leopoldo de', 1617-1675,(citato.)Salarini, Ippolito, m. 1665,(citato.)",Argomenti privati,Micalori Giovanni Battista a Viviani Vincenzo,4/05/1665,Urbino,Firenze,Viviani Vincenzo,1665
Micalori Giovanni Battista,"Incipit: ""Ho ricevuto la gentilissima di V. S., e sento con mio sommo gusto la buona e pronta dispositione...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 172, c. 278r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Salarini, Ippolito, m. 1665,(citato.)",Argomenti privati,Micalori Giovanni Battista a Viviani Vincenzo,18/05/1665,Urbino,Firenze,Viviani Vincenzo,1665
Micalori Giovanni Battista,"Incipit: ""Per servire una povera donna e madre insieme piangente, son sforzato d'incomodare nuovamente...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 173, c. 280r-v<br/>
</td>","Scorcinelli, Dianora, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Micalori Giovanni Battista a Viviani Vincenzo,25/05/1664,Urbino,Firenze,Viviani Vincenzo,1664
Rondinella,"Incipit: ""Mossa da compassione vengo da V. S. a supplicarla con tutte quelle...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 174, c. 282r<br/>
</td>","Viviani, Maddalena Angiola, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Rondinella a Viviani Vincenzo,4/06/1665,S. Marta,Firenze,Viviani Vincenzo,1665
Cerchi Consiglio (de),"Incipit: ""Oggi e no prima mi è stata resa l'umanissima ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 175, c. 284r<br/>
</td>","Magalotti, Lorenzo, 1637-1712,(citato.)Capponi, Ferrante, 1611-1689,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Cerchi Consiglio (de) a Viviani Vincenzo,23/06/1665,Firenze,Sartiano,Viviani Vincenzo,1665
Rondinella,"Incipit: ""Sento pessime relazioni della lor Signora Sestilia, però ricordo a V. S. acciò consoli la sua sorella...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 176, c. 286r<br/>
</td>","Galilei Bocchineri, Sestilia, m. 1669,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Rondinella a Viviani Vincenzo,30/06/1665,Unidentified,Unidentified,Viviani Vincenzo,1665
Dei Rodolfo,"Incipit: ""Avendo sperimentato la sua gran carità et affetto verso la povera casa del Bimbacci non ho potuto...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 177, c. 288r-v<br/>
</td>","Capponi, Ferrante, 1611-1689,(citato.)Bimbacci,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dei Rodolfo a Viviani Vincenzo,4/07/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Molara Bruto (della),"Incipit: ""E quando mai più ha egli da essere che noi ci aviamo da rivedere, per l'amor di Dio...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 178, c. 289r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,7/07/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Gaci Enea,"Incipit: ""Doppo il ritorno da cotesta parte, et che ricevei la gratissima risposta di V. S., dedi parte al Serenissimo...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 179, c. 290r-v<br/>
</td>","Capponi, Ferrante, 1611-1689,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Gaci Enea a Viviani Vincenzo,7/07/1665,Castiglione,Unidentified,Viviani Vincenzo,1665
Serrati Lorenzo,"Incipit: ""La nuova della gran rotta che hanno hauto gli spagnoli da'Portoghesi e Franzesi portato...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 180, c. 291r<br/>
</td>","Capponi, Ferrante, 1611-1689,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Serrati Lorenzo a Viviani Vincenzo,21/07/1665,Firenze,Siena,Viviani Vincenzo,1665
Samuelli Francesco Maria,"Incipit: ""Con l'occasione che sono stato oggi a Monte Puliciano ho trovato...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 181, c. 293r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Samuelli Francesco Maria a Viviani Vincenzo,24/07/1665,Chiusi,Sarteano,Viviani Vincenzo,1665
Molara Bruto (della),"Incipit: ""Sento che oggi vi sia una speditione per voi piaccia a Dio che sia quella buona che ci richiami...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 182, c. 295r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,24/07/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Gaci Enea,"Incipit: ""Pe avviso hauto in discorso con il Signor Cavaliere del Vecchiano, che per la parte della religione...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 183, c. 296r<br/>
</td>","Casella,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Gaci Enea a Viviani Vincenzo,26/07/1665,Castiglione,Sartiano,Viviani Vincenzo,1665
Serrati Lorenzo,"Incipit: ""Mentre l'Illustrissimo Signor Senatore et Auditore Capponi doppo anzi negoziati oggi...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 184, c. 298r-v<br/>
</td>","De Vecchi, Bernardino, sec. XVII,(citato.)Capponi, Ferrante, 1611-1689,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Serrati Lorenzo a Viviani Vincenzo,1/08/1665,Firenze,Unidentified,Viviani Vincenzo,1665
Mattioli Giovanni Battista,"Incipit: ""Si spedisce il suo mandato al tardi che io non ero a casa essendo stato occupato...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 185, c. 299r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Mattioli Giovanni Battista a Viviani Vincenzo,9/08/1665,Montepulciano,Sartiano,Viviani Vincenzo,1665
Mattioli Giovanni Battista,"Incipit: ""Invio a V. S. il saggio del vino quale piacendole potrà ordinare nella maniera che comanda...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 186, c. 301r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Mattioli Giovanni Battista a Viviani Vincenzo,31/08/1665,Montepulciano,Sartiano,Viviani Vincenzo,1665
Casella Giovanni Filippo,"Incipit: ""Supplico V. S. mio riverito signore, che che con l'interpositione del suo merito, voglia impetrarmi...""Originale autografo. Note a lapis forse autografe del Viviani a c. 304v
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 187, c. 303r-v<br/>
</td>","Graziani, sec. XVII,(citato.)Della Penna, Camillo, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Casella Giovanni Filippo a Viviani Vincenzo,5/10/1665,Unidentified,Unidentified,Viviani Vincenzo,1665
Ricci Michelangelo,"Incipit: ""Ella mi ha fatto desiderare per lungo spazio di tempo e l'onore e la consolazione delle sue lettere...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 188, c. 305r<br/>
</td>","Guidi,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Ricci Michelangelo a Viviani Vincenzo,3/10/1665,Frascati,Unidentified,Viviani Vincenzo,1665
Micalori Giovanni Battista,"Incipit: ""Supplico V. S. che vogli dignarsi di mettere in su la via il latore di questa che possi fare giungere...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 189, c. 306r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Bassano, Iacopo, 1510-1592,(citato.)Vagnarelli, Lorenzo, 1581-1675,(citato.)Della Rovere, Vittoria, granduchessa di Toscana, 1622-1694,(citato.)",Argomenti privati,Micalori Giovanni Battista a Viviani Vincenzo,14/10/1665,Urbino,Firenze,Viviani Vincenzo,1665
Fraticelli Bartolomeo,"Incipit: ""Ricevei consolatione inesplicabile nel sentire la mossa di V. S. per la volta di Fiorenza...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 190, c. 308r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Fraticelli Bartolomeo a Viviani Vincenzo,3/11/1665,Sarteano,Firenze,Viviani Vincenzo,1665
Lebesque Marainville (de),"Incipit: ""J'ai recu l'ordre de monseigneur Colbert de vous faire retenir la somme...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 191, c. 310r<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Lebesque Marainville (de) a Viviani Vincenzo,20/11/1665,Parigi,Firenze,Viviani Vincenzo,1665
Fraticelli Bartolomeo,"Incipit: ""Il celeste Bambino multiplichi a milioni la felicità, che V. S. si compiace augurarmi nelle prossime...""Originale autografo. A c. 313v alcuni calcoli matematici
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 192, c. 312r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Ciuti, Jacopo, sec. XVII,(citato.)Medici, Mattias de', 1613-1667,(citato.)Minucci, sec. XVII,(citato.)",Argomenti privati,Fraticelli Bartolomeo a Viviani Vincenzo,22/12/1665,Siena,Firenze,Viviani Vincenzo,1665
Dell'Ara Paolo,"Incipit: ""Iersera comandommi il Signor Abate mio signore di portarmi questa mattina dal Signor Cappellano...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 193, c. 314r-315r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dell'Ara Paolo a Viviani Vincenzo,27/11/1665,Parigi,Unidentified,Viviani Vincenzo,1665
Giovannelli Orlandi Benedetto,"Incipit: ""Partito el dì 18 stante et il 19 presentai le lettere al Signor Potestà di Sarteano et di Cetona...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 194, c. 316r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Podestà di Cetona e Sarteano, sec. XVII,(citato.)Raffaelli, Marco Antonio, sec. XVII,(citato.)",Argomenti privati,Giovannelli Orlandi Benedetto a Viviani Vincenzo,27/11/1665,Siena,Unidentified,Viviani Vincenzo,1665
Dell'Ara Paolo,"Incipit: ""Iersera comandommi il Signor Abate mio signore di portarmi questa mattina dal Signor Cappellano...""Originale autografo simile alla ","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 195, c. 317r-318r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dell'Ara Paolo a Viviani Vincenzo,27/11/1665,Parigi,Unidentified,Viviani Vincenzo,1665
Marucelli Giovanni Filippo,"Incipit: ""Io godo sommamente, che a me tocchi il contento, di darle parte, come la liberalità di questo Re...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 196, c. 319r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Marucelli Giovanni Filippo a Viviani Vincenzo,27/11/1665,Parigi,Unidentified,Viviani Vincenzo,1665
Fraticelli Bartolomeo,"Incipit: ""La servitù contratta con la benignità di V. S. mi havrà fatto trascender in noiarla con altra espressiva...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 197, c. 320r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Podestà di Cetona e Sarteano, sec. XVII,(citato.)Medici, Mattias de', 1613-1667,(citato.)Nelli,(citato.)Medici, Carlo de', 1595-1666,(citato.)",Argomenti privati,Fraticelli Bartolomeo a Viviani Vincenzo,14/12/1665,Siena,Firenze,Viviani Vincenzo,1665
Fraticelli Bartolomeo,"Incipit: ""Presi ardire con la cortesia di V. S. farle mostrare dal Signor Jacopo Ciuti due lettere manifestanti...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 198, c. 322r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Podestà di Cetona e Sarteano, sec. XVII,(citato.)Ciuti, Jacopo, sec. XVII,(citato.)Nelli,(citato.)Capitano di Giustizia di Siena, sec. XVII,(citato.)",Argomenti privati,Fraticelli Bartolomeo a Viviani Vincenzo,12/12/1665,Siena,Firenze,Viviani Vincenzo,1665
Southwell Robert,"Incipit: ""Mi sono scordato della lingua italiana, ma non dalla sua amicitia. Vi juro Signore che la memoria de lei...""Originale autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23163')"">Gal. 162  </a>  doc. 199, c. 324r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Hanibali, sec. XVII,(citato.)Dati, Carlo Roberto, 1619-1676,(citato.)Calvellini, Augustino, sec. XVII,(citato.)",Argomenti privati,Southwell Robert a Viviani Vincenzo,29/12/1665,Portsmouth,Firenze,Viviani Vincenzo,1665
